gene	tpm
YCR090C	57.8067
YCR091W	4.658696
YCR092C	15.0462
YCR093W	84.2628
YCR094W	36.6334
YCR095C	22.99169
YCR095W-A	5.7943
YCR096C	19.7549
YCR097W	47.2185
YCR097W-A	0
YCR098C	4.30386
YCR099C	10.6891
YCR100C	8.09845
YCR101C	11.7843
YCR102C	8.567668
YCR102W-A	12.6015
YCR104W	0.434177
YCR105W	6.94548
YCR106W	15.8742
YCR107W	25.5125
YCR108C	0.592828
YDL001W	17.1629
YDL002C	31.6093
YDL003W	25.5288
YDL004W	86.1359
YDL005C	15.45426
YDL006W	27.99268
YDL007C-A	0.299902
YDL007W	192.6978
YDL008W	52.2305
YDL009C	2.60474
YDL010W	22.44499
YDL011C	15.2657
YDL012C	95.0527
YDL013W	21.666100213919
YDL014W	174.3187
YDL015C	178.47917
YDL016C	1.34301
YDL017W	19.34609
YDL018C	27.1305
YDL019C	25.1447
YDL020C	51.881663
YDL021W	34.2936
YDL022C-A	4.21458
YDL022W	105.1482
YDL023C	48.0583
YDL024C	6.61128
YDL025C	24.75673
YDL025W-A	0
YDL026W	2.34404
YDL027C	26.02
YDL028C	14.4621
YDL029W	147.6893
YDL030W	16.89376
YDL031W	52.7175
YDL032W	12.3678
YDL033C	31.7616
YDL034W	43.0887
YDL035C	34.6454
YDL036C	27.0279
YDL037C	70.4785
YDL039C	109.89
YDL040C	68.3367000633356
YDL041W	1.64474
YDL042C	25.1999
YDL043C	23.1632
YDL044C	14.59184
YDL045C	40.0523
YDL045W-A	95.6633
YDL046W	163.98921
YDL047W	67.3449
YDL048C	30.2059
YDL049C	26.6889
YDL050C	34.1383
YDL051W	186.606
YDL052C	71.9769
YDL053C	63.48743
YDL054C	38.3658
YDL055C	1185.484
YDL056W	14.2685
YDL057W	12.5760000005186
YDL058W	24.8152
YDL059C	19.7294
YDL060W	68.5813
YDL061C	104.916
YDL062W	34.9106
YDL063C	78.8768
YDL064W	104.7665
YDL065C	15.7808
YDL066W	111.8844
YDL067C	122.817
YDL068W	6.59432
YDL069C	9.4494592896
YDL070W	48.6696
YDL071C	0.627644
YDL072C	191.2293
YDL073W	23.8717
YDL074C	45.78534
YDL075W	735.1199
YDL076C	35.063
YDL077C	19.0708
YDL078C	100.5349
YDL079C	19.3133
YDL080C	27.83999
YDL081C	703.319
YDL082W	452.1582
YDL083C	667.8152
YDL084W	210.7467
YDL085C-A	38.88129
YDL085W	0
YDL086C-A	23.5689139
YDL086W	82.8485
YDL087C	21.77677
YDL088C	29.56294
YDL089W	15.23532
YDL090C	16.07673
YDL091C	16.3365
YDL092W	128.804
YDL093W	17.3275
YDL094C	1.09942
YDL095W	159.1436
YDL096C	65.2847
YDL097C	176.0397
YDL098C	20.6617
YDL099W	30.7472
YDL100C	348.128
YDL101C	10.8310951
YDL102W	22.3045
YDL103C	55.5807
YDL104C	7.32628
YDL105W	9.08896
YDL106C	17.25778
YDL107W	13.11540235891
YDL108W	36.27623
YDL109C	9.1879
YDL110C	57.8075
YDL111C	162.311
YDL112W	29.2575
YDL113C	22.8781817
YDL114W	1.6064
YDL114W-A	2.2656
YDL115C	33.0058
YDL116W	43.1624000003776
YDL117W	51.8083
YDL118W	0
YDL119C	23.375
YDL120W	49.5825
YDL121C	77.1712
YDL122W	66.404
YDL123W	27.680216
YDL124W	487.26
YDL125C	253.8853
YDL126C	629.153
YDL127W	49.9591
YDL128W	75.48123
YDL129W	20.2279
YDL130W	420.1943
