"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLR270W",6.69097914949981,6.09236695776577,148.115287772394,5.29048858902274e-17,1.55353134144156e-15,28.7982150621395
"YBR080C",7.41531886395615,7.33107359757258,150.886325348913,4.45314220013658e-17,1.55353134144156e-15,28.7981237483356
"YBR286W",10.0021004608478,9.99185641924477,177.746433408903,9.71040025183677e-18,1.55353134144156e-15,28.7900598824641
"YGR253C",8.05586586816985,7.51113197070143,155.41694139292,3.38244430834952e-17,1.55353134144156e-15,28.7899166399557
"YPR097W",7.53022648876975,7.47389888404316,151.353948805144,4.32687549006684e-17,1.55353134144156e-15,28.7870245211005
"YDR389W",6.90281155389497,7.03961382939232,148.147088752106,5.27994158608768e-17,1.55353134144156e-15,28.7795271029917
"YJL109C",9.13137742739395,9.31582054970586,166.297501445401,1.80320316400157e-17,1.55353134144156e-15,28.7790152362064
"YML031W",7.10499007927427,7.04062846457184,148.798414380322,5.06896716047715e-17,1.55353134144156e-15,28.7768030439482
"YGR198W",7.52182068851495,7.40553931795987,151.000809898755,4.42185638107818e-17,1.55353134144156e-15,28.775356170935
"YLL029W",6.9724535632629,6.92396395615043,148.258635580137,5.24313003427113e-17,1.55353134144156e-15,28.7747244186939
"YDR238C",8.86375457881065,9.01197453796299,162.899579510227,2.184700782197e-17,1.55353134144156e-15,28.7717536000084
"YGL112C",6.43982706334452,6.5775106648616,147.288833268778,5.57294025375192e-17,1.55353134144156e-15,28.7702193214659
"YBL079W",7.9812756659815,8.244382705544,154.226518552181,3.63305641165902e-17,1.55353134144156e-15,28.7697237678676
"YKR018C",8.4455332131784,8.02499128187878,158.353407211753,2.84226065140019e-17,1.55353134144156e-15,28.7662325994437
"YDL126C",10.806933234785,10.3588786288107,187.487028127641,5.91328824439317e-18,1.55353134144156e-15,28.7627393046268
"YER049W",7.56693410927858,7.77493534154313,150.902356606892,4.44874652674194e-17,1.55353134144156e-15,28.759844323329
"YCR033W",7.0060920398034,7.09060093158751,147.885710962438,5.36732512580943e-17,1.55353134144156e-15,28.7542597161425
"YDR303C",6.78906148372872,6.75307450726589,147.282375530545,5.57521202001204e-17,1.55353134144156e-15,28.7540876052441
"YFL024C",6.33657280476699,6.29712236291134,146.887136096607,5.71622518812532e-17,1.55353134144156e-15,28.7502657992057
"YDR135C",8.92286540523346,9.02502468203562,162.838891267377,2.19228151862192e-17,1.55353134144156e-15,28.7493758033117
"YMR146C",7.86473563443875,8.00617906930861,152.723553151667,3.9793052909637e-17,1.55353134144156e-15,28.7472348710034
"YPR019W",6.8230892071678,6.99192507262395,147.14963924625,5.62213523040398e-17,1.55353134144156e-15,28.7455084231574
"YBR017C",7.81538240901619,7.95451662183488,152.287155231396,4.08657474360951e-17,1.55353134144156e-15,28.7454555170544
"YDL190C",7.08943496389321,7.17743365457268,147.906322661071,5.36037638762916e-17,1.55353134144156e-15,28.742098525414
"YIL088C",6.33313470662179,6.32698344984339,146.664313970832,5.7974616143952e-17,1.55353134144156e-15,28.7403558617028
"YLR422W",7.46785074821235,7.41955025175394,149.776599455282,4.76944093070402e-17,1.55353134144156e-15,28.740091294146
"YML075C",7.1250295177263,7.37338152113549,147.991089739305,5.33190376333059e-17,1.55353134144156e-15,28.739090624685
"YBR023C",8.00436708243634,8.07275361253455,153.420928590379,3.8143000757763e-17,1.55353134144156e-15,28.7313384295285
"YGL167C",8.51803631475788,8.54374375652893,158.021808025254,2.89818958892188e-17,1.55353134144156e-15,28.7307920615225
"YKL140W",6.35776127944838,6.34242521272173,146.370096534849,5.90669268619558e-17,1.55353134144156e-15,28.728153241735
"YDR341C",8.27363309864537,8.77747317884238,155.631564712245,3.33933063946787e-17,1.55353134144156e-15,28.7279898406599
"YNL330C",6.09697779975668,6.11502070522296,146.771190180675,5.75833826216647e-17,1.55353134144156e-15,28.7231152586008
"YPR029C",7.18484855190693,7.19251411662913,147.823728150637,5.38828131777593e-17,1.55353134144156e-15,28.7209086249246
"YJL068C",6.56051770284317,6.1264757961711,145.969895447361,6.05894742582421e-17,1.56950466120768e-15,28.7109971860969
"YGL019W",6.49268168988192,6.51677351799684,145.872616307156,6.09661018331682e-17,1.56950466120768e-15,28.7087776395933
"YPR165W",8.35354010376097,8.32188634569838,155.725955355715,3.32056237480885e-17,1.55353134144156e-15,28.7055396152802
"YDR308C",6.3301110959226,6.33234377701741,145.814619028293,6.11918783645282e-17,1.56950466120768e-15,28.7028537134791
"YOL130W",7.09586728975875,7.26636052849933,147.012694642626,5.67100497264274e-17,1.55353134144156e-15,28.7023574050278
"YNL216W",7.08087942194656,7.04413991987985,146.887964477391,5.71592553923589e-17,1.55353134144156e-15,28.6998441860238
"YNR026C",5.93561251363214,5.8192197193835,146.829961426794,5.73694899162055e-17,1.55353134144156e-15,28.6990766518564
"YER086W",7.19103094124699,7.75347651409668,147.276746311428,5.57719315842009e-17,1.55353134144156e-15,28.696914399514
"YCR026C",6.92503107822161,6.7768430066372,146.2484049445,5.95253657593975e-17,1.5566962714417e-15,28.6944778392935
"YML081W",7.38287304304752,7.594244797708,148.070384576406,5.30542078293027e-17,1.55353134144156e-15,28.6898990150812
"YLR143W",5.90814611498918,5.93714276323602,146.423236594954,5.88679643230822e-17,1.55353134144156e-15,28.6757979639351
"YIL142W",8.51769708608666,8.28962291457652,156.15157318412,3.23737283102377e-17,1.55353134144156e-15,28.6664403799698
"YGL221C",6.6612269465538,6.55891816469123,145.008615236198,6.44273330068501e-17,1.56950466120768e-15,28.6642173137563
"YGR267C",6.69009453540632,6.82578460206913,144.94829082012,6.46770023039304e-17,1.56950466120768e-15,28.6596134115744
"YDR349C",7.37177417469276,7.34041344343775,147.263968364098,5.58169310304159e-17,1.55353134144156e-15,28.6580629660695
"YDL143W",8.37293177042558,8.2160357614758,154.506630553211,3.57228786709664e-17,1.55353134144156e-15,28.6554125517582
"YEL025C",6.70098728350197,6.81512555519027,144.807364871878,6.52644494098143e-17,1.56950466120768e-15,28.6525437832017
"YNR043W",7.38154699722851,7.68233086799521,147.130722670296,5.62885790886019e-17,1.55353134144156e-15,28.6505025618016
"YDL073W",6.21145522371401,6.33241037636375,144.786468075233,6.53520593034023e-17,1.56950466120768e-15,28.6478696663844
"YAL029C",7.95158767845107,7.94713383896896,150.506276210659,4.55877109106606e-17,1.55353134144156e-15,28.6364836028213
"YDR038C",7.48430104163681,7.61281978226785,147.319092409777,5.56230904503772e-17,1.55353134144156e-15,28.6339059560918
"YKL007W",7.05825159693099,6.674784242816,145.28682668833,6.3289607426738e-17,1.56950466120768e-15,28.6338556146701
"YHR019C",8.6338590024658,9.31186523899961,156.202287833889,3.22761522373229e-17,1.55353134144156e-15,28.6310717987735
"YDL040C",7.65213380376703,7.92196976852771,148.205132981475,5.26075082583287e-17,1.55353134144156e-15,28.6286864023647
"YHR074W",7.39579923332749,7.4269225363423,146.610425044525,5.81729988769395e-17,1.55353134144156e-15,28.6254782172881
"YGL131C",6.2917454509088,6.24349722171471,144.022070799527,6.86480925025627e-17,1.56950466120768e-15,28.6208452044149
"YLR166C",6.21327981074571,6.39695467098121,144.139613051585,6.81294911631512e-17,1.56950466120768e-15,28.6190665211605
"YMR108W",8.63302577654936,8.78237407211627,155.722934298043,3.32116125718492e-17,1.55353134144156e-15,28.6133485337479
"YGR123C",6.69717365412478,6.94363716360618,143.904093481026,6.91730132558175e-17,1.56950466120768e-15,28.6121959606937
"YIL111W",6.37206264155228,5.70916082071912,143.735579625556,6.99305140174084e-17,1.56950466120768e-15,28.6109046989344
"YOR151C",9.33907048605942,9.27169961879565,162.934518669252,2.18034960627189e-17,1.55353134144156e-15,28.6079721034406
"YCR081W",6.29639736458711,6.20299784879465,143.683543942336,7.01662769123228e-17,1.56950466120768e-15,28.6058059974306
"YDR334W",7.78292599898881,7.42026063383285,148.387012177189,5.20111587911871e-17,1.55353134144156e-15,28.5999181148953
"YDR093W",7.58798292407064,7.87904599330526,147.007752127805,5.67277752192007e-17,1.55353134144156e-15,28.5959907717525
"YDR212W",8.75530562032952,8.5465445181072,156.30821758046,3.20733900874098e-17,1.55353134144156e-15,28.5936915804866
"YMR295C",7.24471441314011,7.20839307197608,145.108015373838,6.40182631312166e-17,1.56950466120768e-15,28.5929187278909
"YDR301W",6.78865015269213,6.92568463055904,143.466329503342,7.11599821735654e-17,1.56950466120768e-15,28.5851386111436
"YKL212W",8.02937220472117,8.126306120728,149.734810821179,4.78182837807565e-17,1.55353134144156e-15,28.5836097305629
"YPL063W",7.05607795672769,7.1714132599692,144.051079460066,6.85196999601069e-17,1.56950466120768e-15,28.5796029540301
"YKL057C",7.201392945046,7.31260048766665,144.591444280875,6.61760067614193e-17,1.56950466120768e-15,28.5783875444267
"YHL030W",9.59094747974581,8.89376621636786,164.720929037192,1.97016469623414e-17,1.55353134144156e-15,28.5767950874834
"YMR027W",7.22880011731781,7.05009804932777,144.542809280953,6.63832705022275e-17,1.56950466120768e-15,28.5714452923721
