"","logFC","logCPM","F","PValue","FDR"
"YMR174C",1.71344678420422,4.30694954251006,181.041745139461,1.30699276935533e-07,5.19477761026307e-06
"YHR216W",-1.16829030979548,7.46092004026239,180.577032333014,1.32245696288969e-07,5.21485391350517e-06
"YDR234W",-0.854794528736384,7.96952283038706,179.876063363002,1.34653539569719e-07,5.26831973566525e-06
"YJR096W",1.35003468221471,6.28202404518416,178.350107015433,1.40080953619631e-07,5.43818151726442e-06
"YBR191W",-1.85142031843797,10.049316687724,176.575529712343,1.46727322420744e-07,5.65238792833143e-06
"YDR418W",-1.87104412938891,9.92410141727346,176.240038722478,1.48026294321572e-07,5.65889833559111e-06
"YDR385W",-1.69867362906233,12.938393045011,175.424331172511,1.51242871688887e-07,5.72807864798194e-06
"YGL031C",-2.08430284293555,9.78353476064606,175.204652046561,1.52123494445207e-07,5.72807864798194e-06
"YJL088W",3.46395460530816,4.79077122797091,174.904269031849,1.53398929144367e-07,5.73299878473872e-06
"YMR090W",1.48598284722077,5.79068640205824,174.278909139949,1.55903857813857e-07,5.78345570319848e-06
"YER102W",-1.86087847267482,10.0808998782142,173.346601091255,1.5982446155805e-07,5.8853007609023e-06
"YBR121C",-1.15378776561622,9.44931046889111,172.273972534788,1.64484172071396e-07,5.987160089422e-06
"YLR029C",-1.73962206811522,11.0497047931785,172.161624395686,1.64981647831517e-07,5.987160089422e-06
"YNL274C",2.08360830470588,5.2213157022177,171.471435785218,1.68090229145567e-07,6.04130706978454e-06
"YNL178W",-2.00580115122063,10.8424003507304,171.182841487046,1.69393340123828e-07,6.04130706978454e-06
"YDR258C",2.24799497827384,7.86619941315536,170.589360657837,1.72137737427277e-07,6.04130706978454e-06
"YLR106C",-1.32136315968388,10.620327682896,170.557753845282,1.72285296432609e-07,6.04130706978454e-06
"YDL075W",-1.95178159545817,9.19801467279522,170.20093498306,1.73962805695992e-07,6.04130706978454e-06
"YIR038C",1.21073747747382,6.49229886440878,170.153977098021,1.74185291347233e-07,6.04130706978454e-06
"YCR031C",-1.77576542071981,10.2206431659902,169.999596346741,1.74918036165886e-07,6.04130706978454e-06
"YJL136C",-1.7451212380771,9.08241081252734,168.631439839818,1.8157936666486e-07,6.19626960953266e-06
"YIL148W",-1.7334921487936,10.238112936939,168.571260565771,1.81879319608886e-07,6.19626960953266e-06
"YLR344W",-1.30906241444631,8.91474264406576,168.095494820561,1.84271901040616e-07,6.23536270548246e-06
"YGR061C",-1.28163753090945,9.85935945618161,167.268161163079,1.88523481670856e-07,6.3361330352377e-06
"YML128C",2.14287051797992,6.99245938562933,166.900147843552,1.90452906118675e-07,6.3361330352377e-06
"YIL069C",-1.30166916907861,9.40026244824784,166.787939788447,1.9104554479251e-07,6.3361330352377e-06
"YJL138C",-1.08831624374788,10.5084117737517,166.213158655228,1.94117906652325e-07,6.37382080548976e-06
"YNL302C",-1.79496015656562,9.20086917220903,166.100447375151,1.94727352883373e-07,6.37382080548976e-06
"YHR020W",-1.33369286010762,9.9225183113593,164.519178192735,2.03525482853363e-07,6.58999958932855e-06
"YGR285C",-1.20403503942887,9.75019039255756,163.864864640163,2.07305798921296e-07,6.58999958932855e-06
"YIL133C",-1.6159116997493,9.45778195259896,163.622277096751,2.08728830728544e-07,6.58999958932855e-06
"YNL069C",-1.91384199393544,10.8246745108945,163.571882940197,2.09025916218509e-07,6.58999958932855e-06
"YBR114W",1.34582685140255,7.25918691245287,163.466032425796,2.09651729748587e-07,6.58999958932855e-06
"YJL089W",2.64325558179941,3.29768546451747,163.321381134445,2.10826132754562e-07,6.58999958932855e-06
"YLR168C",1.24921981089292,5.35097959844581,163.069301184904,2.12018472040728e-07,6.58999958932855e-06
"YML026C",-1.704790891735,9.65376712375511,162.965736350867,2.12639597941725e-07,6.58999958932855e-06
"YDR023W",-1.18690729365644,9.66714682266796,162.87700163183,2.13174906843296e-07,6.58999958932855e-06
"YDL082W",-1.49502896498348,9.5429464107781,161.372764517291,2.22501590994209e-07,6.77915575179227e-06
"YDL083C",-1.69061175308984,9.83098469154422,161.17678751022,2.2375260255051e-07,6.77915575179227e-06
"YGL135W",-1.6479304386691,10.5851838540377,161.158783803798,2.23867951001936e-07,6.77915575179227e-06
"YBL072C",-2.05790615958925,10.5007626413302,160.897307495837,2.25551353816919e-07,6.77915575179227e-06
"YLR075W",-1.64005564627587,11.1644103202702,160.818439504576,2.26062102745469e-07,6.77915575179227e-06
"YLR048W",-1.86348192430402,10.993930376519,160.450065540995,2.28466243464745e-07,6.81046992423477e-06
"YLR185W",-1.65806908086284,8.94104425093838,159.972934526059,2.31626165503735e-07,6.86380968545978e-06
"YLR061W",-1.99039819288542,9.43286448951202,159.395355909374,2.35522096921988e-07,6.93262538899917e-06
"YER043C",-1.06019536788672,10.0551132169988,159.220507199795,2.36717041038111e-07,6.93262538899917e-06
"YJL066C",1.23096599284268,6.00692393214921,158.874921468214,2.39101218348995e-07,6.96173779937074e-06
"YBR206W",-0.966765910809458,6.85189236407533,158.558188145735,2.41310409987901e-07,6.9854481688983e-06
"YDR450W",-1.92747435999998,9.8721733675684,157.782899773362,2.46824153911497e-07,7.09542019670664e-06
"YKL216W",-1.9787926902306,8.52667501244585,157.628134146819,2.47942998087792e-07,7.09542019670664e-06
"YML056C",-1.22660821760712,9.8898811380345,157.414006434687,2.49501024660723e-07,7.09943824716421e-06
"YGL076C",-1.92692894904597,10.7404104959049,157.032241275861,2.52308238410359e-07,7.13875512971231e-06
"YBR052C",1.18308052089068,7.31244940780756,156.701498367716,2.54771223661071e-07,7.16794543873395e-06
"YBL076C",-1.20126629282119,10.9549090781159,156.415833233454,2.56921660257645e-07,7.18806522106304e-06
"YNL088W",-0.943884550566647,8.17404716444228,156.112909249569,2.59226127947234e-07,7.19108878695283e-06
"YGL016W",-1.04761046434123,8.04058740993349,155.979484147225,2.60249038283325e-07,7.19108878695283e-06
"YDL084W",-1.22130720818446,9.7663880698966,155.71855198702,2.62263549031881e-07,7.19108878695283e-06
"YHR141C",-1.58435093371395,9.42134521211049,155.494443520821,2.64008817445923e-07,7.19108878695283e-06
"YGL202W",-0.867449245707281,9.2393200607264,155.364148141184,2.65029940560366e-07,7.19108878695283e-06
"YIL043C",-0.945325763610215,8.24651172794447,155.28592862539,2.65645252712914e-07,7.19108878695283e-06
"YDL222C",1.85154271516211,3.61086167551937,154.767840122685,2.69866365227488e-07,7.21834789893588e-06
"YGL037C",2.57678750662376,8.83295934206367,154.618053976338,2.70969667167569e-07,7.21834789893588e-06
"YBL027W",-1.8629202741376,10.4443670060668,154.617224123198,2.70976318889765e-07,7.21834789893588e-06
"YER165W",-1.26018478527926,10.1971440746168,154.435969098597,2.72443488223338e-07,7.2190316879496e-06
"YLR448W",-1.71183874358046,9.91963231979353,152.652493967644,2.87402825068348e-07,7.5673469428796e-06
"YER009W",-1.06277187154822,8.03344088068972,152.513375013857,2.88610875816694e-07,7.5673469428796e-06
"YBR284W",1.85579702841636,4.5400899974129,152.049313450505,2.9271887722583e-07,7.63508404764041e-06
"YJL177W",-1.71437529205776,9.40302873095677,151.543851188704,2.97201687727425e-07,7.71184482973546e-06
"YER142C",1.8043748262457,5.564426183732,151.25088853029,2.99860408682832e-07,7.74072642620425e-06
"YDR447C",-1.83570118796137,8.65724761167129,150.385874151291,3.07869968956063e-07,7.90673233093314e-06
"YDL181W",1.45306436491088,4.80176176113776,149.77388623446,3.13726967851907e-07,8.01604415817525e-06
"YLR452C",-1.02579476981346,7.8061994655872,149.496440892936,3.16378783738862e-07,8.04276623839706e-06
"YBR189W",-1.96432155099374,10.5999590303766,148.848725545828,3.22753860295608e-07,8.1633905674768e-06
