gene	tpm
YDL150W	35.28397
YDL151C	1.63906
YDL152W	0.19813
YDL153C	17.20351
YDL154W	4.42831
YDL155W	26.5109
YDL156W	5.49487
YDL157C	112.4024
YDL158C	0
YDL159C-B	0
YDL159W	13.75386
YDL159W-A	12.124
YDL160C	109.127
YDL160C-A	20.96931
YDL161W	13.42347
YDL162C	0.142102
YDL163W	0
YDL164C	28.66922
YDL165W	56.0671
YDL166C	40.4098
YDL167C	47.14538
YDL168W	56.6059
YDL169C	1.460386
YDL170W	12.05427085
YDL171C	110.022
YDL172C	11.8999
YDL173W	59.6397
YDL174C	20.928
YDL175C	10.89678
YDL176W	9.6574
YDL177C	11.74832
YDL178W	31.674029
YDL179W	38.2934
YDL180W	14.8061
YDL181W	19.46355
YDL182W	121.04914
YDL183C	5.18515
YDL184C	232.64
YDL185C-A	1.71091
YDL185W	500.5833176
YDL186W	4.30617
YDL187C	3.111713
YDL188C	41.17731
YDL189W	24.519964
YDL190C	34.3498
YDL191W	2736.8247
YDL192W	551.498
YDL193W	38.086
YDL194W	9.60985
YDL195W	54.7491
YDL196W	0
YDL197C	10.64076
YDL198C	29.81896
YDL199C	3.17717
YDL200C	15.28678
YDL201W	90.9254
YDL202W	31.8674
YDL203C	19.92391
YDL204W	5.25027
YDL204W-A	5.13909
YDL205C	50.2527
YDL206W	6.94816
YDL207W	16.234007
YDL208W	276.708
YDL209C	13.844157
YDL210W	2.18939
YDL211C	6.518884
YDL212W	247.0234
YDL213C	42.8171
YDL214C	2.51881
YDL215C	20.16705
YDL216C	6.245942
YDL217C	27.0675
YDL218W	5.20965
YDL219W	57.0234
YDL220C	5.89929
YDL221W	5.57255
YDL222C	2.50755
YDL223C	4.34194
YDL224C	30.2513
YDL225W	27.69384695
YDL226C	89.7348
YDL227C	45.761
YDL228C	716.146
YDL229W	1771.771
YDL230W	7.46643
YDL231C	14.7997
YDL232W	63.0193
YDL233W	4.95463
YDL234C	10.973326
YDL235C	100.0402
YDL236W	89.0081
YDL237W	73.2978
YDL238C	8.16563
YDL239C	5.35688
YDL240C-A	10.3521
YDL240W	24.6949
YDL241W	15.70789
YDL242W	2.46376
YDL243C	7.92751
YDL244W	0.970634
YDL245C	2.22427
YDL246C	1.05493
YDL247W	6.35422
YDL247W-A	19.4942
YDL248W	11.5316
YDR001C	24.7091
YDR002W	341.454
YDR003W	18.4989
YDR003W-A	11.8649
YDR004W	6.18413
YDR005C	18.206
YDR006C	23.316
YDR007W	41.7801
YDR008C	8.34994
YDR009W	2.928938
YDR010C	37.1217
YDR011W	351.748
YDR012W	642.107
YDR013W	24.6355
YDR014W	6.63404
YDR014W-A	0.762187
YDR015C	0
YDR016C	31.52751
YDR017C	28.7323
YDR018C	2.08262
YDR019C	28.58176
YDR020C	16.0647
YDR021W	24.6945
YDR022C	11.46157
YDR023W	441.641
YDR024W	0.598307
YDR025W	2475.5886
YDR026C	14.117211
YDR027C	16.443499
YDR028C	41.5764000023832
YDR029W	29.4789
YDR030C	4.03949
YDR031W	16.16776
YDR032C	120.5125
YDR033W	790.136
YDR034C	20.53468
YDR034C-A	2508.48
YDR034C-C	14.6872
YDR034C-D	11.5855
YDR034W-B	0.909057
YDR035W	110.9163
YDR036C	22.55844
YDR037W	440.496
YDR038C	44.0489
YDR039C	46.4746
YDR040C	51.6183
YDR041W	45.283
YDR042C	6.03135
YDR043C	13.581
YDR044W	59.4362
YDR045C	48.9337
YDR046C	45.501638
YDR047W	47.145
YDR048C	0
YDR049W	14.57592
YDR050C	2775.708
YDR051C	27.4233
YDR052C	20.615
YDR053W	21.212
YDR054C	56.897
YDR055W	49.7721
YDR056C	79.9794
YDR057W	13.5227
YDR058C	7.48841
YDR059C	10.06468
YDR060W	97.5256024288
YDR061W	28.91123
YDR062W	117.0504
YDR063W	65.8192
YDR064W	3186.807
YDR065W	12.62679
YDR066C	4.7685
YDR067C	11.0299
YDR068W	15.34329
YDR069C	12.3074
YDR070C	4.0273
YDR071C	169.8697
YDR072C	47.09209
YDR073W	26.72388
YDR074W	18.465100059043
YDR075W	32.69064
YDR076W	4.51817
YDR077W	97.1224
YDR078C	8.74574
YDR079C-A	19.9679
YDR079W	42.7169
YDR080W	11.1298
YDR081C	15.9065
YDR082W	9.047080352174
YDR083W	26.408729
YDR084C	15.57479
YDR085C	5.6928
YDR086C	136.971
YDR087C	72.9684
YDR088C	6.94791
YDR089W	16.0463
YDR090C	20.19597
YDR091C	183.96
YDR092W	88.33835
YDR093W	37.3362
